experimentUri,uri,name,type
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000289,289/DZ_PG_37/ZM4364/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000288,288/DZ_PG_22/ZM4349/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000287,287/DZ_PG_06/ZM4376/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000286,286/DZ_PG_09/ZM4368/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000285,285/DZ_PG_63/ZM4392/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000284,284/DZ_PG_41/ZM4378/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000283,283/DZ_PG_27/ZM4354/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000282,282/DZ_PG_68/ZM4395/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000281,281/DZ_PG_55/ZM4355/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000280,280/DZ_PG_21/ZM4360/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000279,279/DZ_PG_19/ZM4367/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000278,278/DZ_PG_30/ZM4361/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000277,277/DZ_PG_67/ZM4394/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000276,276/DZ_PG_03/ZM4377/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000275,275/DZ_PG_12/ZM1304_lot1/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000274,274/DZ_PG_32/ZM4352/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000273,273/DZ_PG_02/ZM4356/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000272,272/DZ_PG_69/ZM4396/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000271,271/DZ_PG_34/ZM4384/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000270,270/DZ_PG_48/ZM4421/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000269,269/DZ_PG_04/ZM4366/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000268,268/DZ_PG_62/ZM4393/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000267,267/DZ_PG_69/ZM4396/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000266,266/DZ_PG_66/ZM4391/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000265,265/DZ_PG_01/ZM4381/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000264,264/DZ_PG_43/ZM4380/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000263,263/DZ_PG_67/ZM4394/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000262,262/DZ_PG_08/ZM4343/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000261,261/DZ_PG_51/ZM4350/WD2/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000195,195/DZ_PG_14/ZM4375/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000194,194/DZ_PG_04/ZM4366/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000193,193/DZ_PG_20/ZM4344/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000192,192/DZ_PG_69/ZM4396/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000191,191/DZ_PG_63/ZM4392/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000190,190/DZ_PG_44/ZM4369/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000189,189/DZ_PG_67/ZM4394/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000188,188/DZ_PG_07/ZM4351/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000187,187/DZ_PG_24/ZM4342/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000186,186/DZ_PG_54/ZM4346/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000185,185/DZ_PG_32/ZM4352/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000184,184/DZ_PG_41/ZM4378/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000183,183/DZ_PG_45/ZM4385/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000182,182/DZ_PG_67/ZM4394/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000181,181/DZ_PG_45/ZM4385/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000180,180/DZ_PG_49/ZM4389/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000179,179/DZ_PG_69/ZM4396/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000178,178/DZ_PG_30/ZM4361/WD1/1/DIA2017-05-19 ,vocabulary:Plot
